province_id,Total,Year
1100,51.02,2018
1200,50.73,2018
1300,53.23,2018
1400,57.47,2018
1500,53.18,2018
1600,50.86,2018
1700,59.95,2018
1800,54.33,2018
1900,54.37,2018
2100,58.83,2018
3100,54.67,2018
3200,51.21,2018
3300,60.05,2018
3400,73.79,2018
3500,56.66,2018
3600,49.69,2018
5100,65.39,2018
5200,59.92,2018
5300,49.13,2018
6100,47.86,2018
6200,53.28,2018
6300,53.79,2018
6400,52.78,2018
6500,50,2018
7100,56.02,2018
7200,48.11,2018
7300,49.82,2018
7400,47.62,2018
7500,49.86,2018
7600,46.9,2018
8100,49.91,2018
8200,47.02,2018
9100,47.61,2018
9400,46.25,2018
1001,53.74,2018
1100,53.67,2019
1200,52.12,2019
1300,54.99,2019
1400,59.65,2019
1500,54.61,2019
1600,53.24,2019
1700,61.13,2019
1800,56.57,2019
1900,56.62,2019
2100,60.9,2019
3100,57.81,2019
3200,53.28,2019
3300,60.94,2019
3400,73.98,2019
3500,58.76,2019
3600,51.43,2019
5100,69.09,2019
5200,62.56,2019
5300,50.48,2019
6100,50.58,2019
6200,55.76,2019
6300,55.99,2019
6400,55.47,2019
6500,52.94,2019
7100,57.62,2019
7200,49.49,2019
7300,51.62,2019
7400,49.1,2019
7500,50.57,2019
7600,48.41,2019
8100,52.1,2019
8200,50.94,2019
9100,50.03,2019
9400,47.49,2019
1001,55.91,2019
1100,52.61,2020
1200,50.33,2020
1300,54.6,2020
1400,59.5,2020
1500,52.86,2020
1600,51.68,2020
1700,56.59,2020
1800,55.38,2020
1900,54.7,2020
2100,59.24,2020
3100,57.13,2020
3200,52.04,2020
3300,59.12,2020
3400,71.74,2020
3500,57.88,2020
3600,48.95,2020
5100,66.4,2020
5200,61.26,2020
5300,48.93,2020
6100,49.72,2020
6200,53.88,2020
6300,54.41,2020
6400,53.25,2020
6500,50.46,2020
7100,55.09,2020
7200,47.42,2020
7300,51.1,2020
7400,48.91,2020
7500,51.49,2020
7600,47.14,2020
8100,50.23,2020
8200,50.74,2020
9100,48.07,2020
9400,46.26,2020
1001,54.65,2020
